Nacional;Comunidades y Ciudades Aut�nomas;Sexo;Periodo;Total
Total;REGION DE MURCIA;Total;1998;1.115.068
Total;NAVARRA;Total;2021;661.537
Total;NAVARRA;Total;2020;661.197
Total;NAVARRA;Total;2019;654.214
Total;NAVARRA;Total;2018;647.554
Total;NAVARRA;Total;2017;643.234
Total;NAVARRA;Total;2016;640.647
Total;NAVARRA;Total;2015;640.476
Total;NAVARRA;Total;2014;640.790
Total;NAVARRA;Total;2013;644.477
Total;NAVARRA;Total;2012;644.566
Total;NAVARRA;Total;2011;642.051
Total;NAVARRA;Total;2010;636.924
Total;NAVARRA;Total;2009;630.578
Total;NAVARRA;Total;2008;620.377
Total;NAVARRA;Total;2007;605.876
Total;NAVARRA;Total;2006;601.874
Total;NAVARRA;Total;2005;593.472
Total;NAVARRA;Total;2004;584.734
Total;NAVARRA;Total;2003;578.210
Total;NAVARRA;Total;2002;569.628
Total;NAVARRA;Total;2001;556.263
Total;NAVARRA;Total;2000;543.757
Total;NAVARRA;Total;1999;538.009
Total;NAVARRA;Total;1998;530.819
Total;PAIS VASCO;Total;2021;2.213.993
Total;PAIS VASCO;Total;2020;2.220.504
Total;PAIS VASCO;Total;2019;2.207.776
Total;PAIS VASCO;Total;2018;2.199.088
Total;PAIS VASCO;Total;2017;2.194.158
Total;PAIS VASCO;Total;2016;2.189.534
Total;PAIS VASCO;Total;2015;2.189.257
Total;PAIS VASCO;Total;2014;2.188.985
Total;PAIS VASCO;Total;2013;2.191.682
Total;PAIS VASCO;Total;2012;2.193.093
Total;PAIS VASCO;Total;2011;2.184.606
Total;PAIS VASCO;Total;2010;2.178.339
Total;PAIS VASCO;Total;2009;2.172.175
Total;PAIS VASCO;Total;2008;2.157.112
Total;PAIS VASCO;Total;2007;2.141.860
Total;PAIS VASCO;Total;2006;2.133.684
Total;PAIS VASCO;Total;2005;2.124.846
Total;PAIS VASCO;Total;2004;2.115.279
Total;PAIS VASCO;Total;2003;2.112.204
Total;PAIS VASCO;Total;2002;2.108.281
Total;PAIS VASCO;Total;2001;2.101.478
Total;PAIS VASCO;Total;2000;2.098.596
Total;PAIS VASCO;Total;1999;2.100.441
Total;PAIS VASCO;Total;1998;2.098.628
Total;LA RIOJA;Total;2021;319.796
Total;LA RIOJA;Total;2020;319.914
Total;LA RIOJA;Total;2019;316.798
Total;LA RIOJA;Total;2018;315.675
Total;LA RIOJA;Total;2017;315.381
Total;LA RIOJA;Total;2016;315.794
Total;LA RIOJA;Total;2015;317.053
Total;LA RIOJA;Total;2014;319.002
Total;LA RIOJA;Total;2013;322.027
Total;LA RIOJA;Total;2012;323.609
Total;LA RIOJA;Total;2011;322.955
Total;LA RIOJA;Total;2010;322.415
Total;LA RIOJA;Total;2009;321.702
Total;LA RIOJA;Total;2008;317.501
Total;LA RIOJA;Total;2007;308.968
Total;LA RIOJA;Total;2006;306.377
Total;LA RIOJA;Total;2005;301.084
Total;LA RIOJA;Total;2004;293.553
Total;LA RIOJA;Total;2003;287.390
Total;LA RIOJA;Total;2002;281.614
Total;LA RIOJA;Total;2001;270.400
Total;LA RIOJA;Total;2000;264.178
Total;LA RIOJA;Total;1999;265.178
Total;LA RIOJA;Total;1998;263.644
Total;CEUTA;Total;2021;83.517
Total;CEUTA;Total;2020;84.202
Total;CEUTA;Total;2019;84.777
Total;CEUTA;Total;2018;85.144
Total;CEUTA;Total;2017;84.959
Total;CEUTA;Total;2016;84.519
Total;CEUTA;Total;2015;84.263
Total;CEUTA;Total;2014;84.963
Total;CEUTA;Total;2013;84.180
Total;CEUTA;Total;2012;84.018
Total;CEUTA;Total;2011;82.376
Total;CEUTA;Total;2010;80.579
Total;CEUTA;Total;2009;78.674
Total;CEUTA;Total;2008;77.389
Total;CEUTA;Total;2007;76.603
Total;CEUTA;Total;2006;75.861
Total;CEUTA;Total;2005;75.276
Total;CEUTA;Total;2004;74.654
Total;CEUTA;Total;2003;74.931
Total;CEUTA;Total;2002;76.152
Total;CEUTA;Total;2001;75.694
Total;CEUTA;Total;2000;75.241
Total;CEUTA;Total;1999;73.704
Total;CEUTA;Total;1998;72.117
Total;MELILLA;Total;2021;86.261
Total;MELILLA;Total;2020;87.076
Total;MELILLA;Total;2019;86.487
Total;MELILLA;Total;2018;86.384
Total;MELILLA;Total;2017;86.120
Total;MELILLA;Total;2016;86.026
Total;MELILLA;Total;2015;85.584
Total;MELILLA;Total;2014;84.509
Total;MELILLA;Total;2013;83.679
Total;MELILLA;Total;2012;80.802
Total;MELILLA;Total;2011;78.476
Total;MELILLA;Total;2010;76.034
Total;MELILLA;Total;2009;73.460
Total;MELILLA;Total;2008;71.448
Total;MELILLA;Total;2007;69.440
Total;MELILLA;Total;2006;66.871
Total;MELILLA;Total;2005;65.488
Total;MELILLA;Total;2004;68.016
Total;MELILLA;Total;2003;68.463
Total;MELILLA;Total;2002;69.184
Total;MELILLA;Total;2001;68.789
Total;MELILLA;Total;2000;66.263
Total;MELILLA;Total;1999;56.929
Total;MELILLA;Total;1998;60.108
